Index;Country;Brown Ale;Pale Lager;Stout;Golden Ale/Blond Ale;Bitter;American Pale Ale;Irish Ale;Wheat Ale;English Strong Ale;Black IPA;India Pale Ale (IPA);American Strong Ale;Imperial IPA;Berliner Weisse;Sour/Wild Ale;Zwickel/Keller/Landbier;Saison;Session IPA;Imperial Stout;Foreign Stout;Porter;Spice/Herb/Vegetable;Pilsener;Belgian Ale;Dry Stout;Mild Ale;Premium Lager;Amber Ale;Baltic Porter;California Common;Imperial Porter;Dortmunder/Helles;Smoked;Abbey Tripel;Premium Bitter/ESB;Belgian Strong Ale;Bière de Garde;German Hefeweizen;English Pale Ale;Traditional Ale;Sweet Stout;Kölsch;Altbier;Sour Red/Brown;Fruit Beer;India Style Lager;Lambic Style - Fruit;Cider;Czech Pilsner (Světlý);Witbier;Cream Ale;Scotch Ale;Dunkel/Tmavý;Sahti/Gotlandsdricke/Koduõlu;Heller Bock;Amber Lager/Vienna;Doppelbock;Imperial Pils/Strong Pale Lager;Abbey Dubbel;Dunkelweizen;Specialty Grain;Oktoberfest/Märzen;Old Ale;Dunkler Bock;Malt Liquor;Radler/Shandy;Scottish Ale;Schwarzbier;Low Alcohol;Barley Wine;Weizen Bock;Grodziskie/Gose/Lichtenhainer;Polotmavý;Abt/Quadrupel;German Kristallweizen;Perry;Eisbock;Lambic Style - Gueuze;Lambic Style - Unblended;Lambic Style - Faro
65;United States, Missouri;3.2672;2.0688;3.5287;2.9458;3.0653;3.35;3.1325;3.0282;3.4004;3.5813;3.494;3.6179;3.7134;3.4948;3.7568;3.4007;3.6292;3.3596;3.8443;3.5846;3.4464;3.1734;3.065;3.4582;3.352;3.357;2.6499;3.1578;3.6471;3.2329;3.7363;3.118;3.4615;3.6026;3.281;3.6845;3.5242;3.2712;3.1225;3.4319;3.5302;3.1044;3.3265;3.7647;2.9623;3.4648;3.7117;2.9978;3.138;3.2671;2.9157;3.5109;3.1763;3.5917;3.2202;2.8425;3.4815;3.0701;3.562;3.3478;3.2406;3.2019;3.5834;3.1711;1.6282;2.7298;3.3962;3.2619;1.9446;3.7016;3.6602;3.4596;3.11;3.9278;3.13;2.25;3.7483;3.9107;3.9457;3.519
66;United States, Idaho;3.3286;2.0176;3.5421;2.974;3.1101;3.3144;3.122;2.9819;3.3719;3.623;3.4889;3.6689;3.7285;3.6345;3.7411;3.2212;3.6018;3.4539;3.8576;3.5994;3.4627;3.295;3.0652;3.4464;3.3907;3.2712;2.65;3.2001;3.6969;3.1907;3.7526;3.0772;3.5946;3.5683;3.2751;3.6771;3.5033;3.237;3.0896;3.5032;3.5876;3.0725;3.3313;3.7538;3.1109;3.4605;3.742;3.1904;3.0919;3.2103;3.1486;3.4775;3.1383;3.7385;3.2219;2.832;3.5396;2.8988;3.5093;3.354;3.2078;3.1907;3.5914;3.35;2.0179;2.9652;3.2507;3.3227;1.6585;3.693;3.6569;3.5641;3.275;3.8191;3.0691;2.7857;3.7023;3.9584;3.7967;3.5667
67;United States, Arizona;3.4061;1.9899;3.6705;2.98;3.0921;3.4407;3.1634;3.0534;3.4127;3.7845;3.6296;3.76;3.8537;3.7917;3.9093;3.12;3.7567;3.7321;3.9682;3.6711;3.5558;3.3594;2.968;3.522;3.3609;3.3366;2.6711;3.237;3.7262;3.2528;3.8439;2.9351;3.6985;3.6135;3.2884;3.7084;3.5133;3.2986;3.1762;3.5404;3.6967;3.1431;3.3535;3.8755;3.1258;3.732;3.6912;2.9941;3.0626;3.3281;3.1062;3.6468;3.1155;3.487;3.2809;2.8801;3.5549;2.9338;3.5953;3.3871;3.3584;3.1858;3.685;3.2557;2.1037;2.4312;3.3004;3.3183;1.7195;3.7997;3.7133;3.8176;3.2318;3.8882;3.1851;2.5;3.7303;3.8757;3.8365;3.4877
68;United States, Nebraska;3.2307;1.8581;3.511;2.6888;2.9431;3.2041;2.8368;2.8587;3.1796;3.7694;3.4453;3.6441;3.7181;3.4786;3.6552;3.2745;3.434;3.4604;3.9775;3.669;3.4752;3.1393;2.8311;3.3772;3.5602;2.8897;2.5875;2.9825;3.6797;3.0635;3.663;3.1225;3.5774;3.7259;3.0591;3.7345;3.4556;3.3283;2.9857;3.4923;3.5298;2.8777;3.1151;3.7492;3.0294;3.2882;3.6402;3.0733;2.8692;3.2657;2.9515;3.4008;3.1624;4.1;3.075;2.7751;3.5005;2.8593;3.6807;3.3351;3.0897;3.1544;3.6533;3.186;1.9685;2.9232;2.9549;3.33;1.5621;3.7295;3.7472;3.5358;3.275;3.9778;3.7111;2.875;3.7278;3.8447;3.8125;3.5222
69;United States, Louisiana;3.3171;2.4741;3.5184;3.067;3.1971;3.383;3.4281;3.093;3.5484;3.5468;3.5045;3.5211;3.6662;3.4385;3.6283;3.4034;3.6197;3.4273;3.7696;3.5982;3.4588;3.2736;3.1937;3.5246;3.5019;3.16;2.9744;3.2007;3.6726;3.2213;3.5623;3.3012;3.4766;3.7113;3.3112;3.7397;3.4333;3.4375;3.175;3.4864;3.6126;3.0804;3.3288;3.6015;3.0736;3.4778;3.6769;3.35;3.502;3.3649;3.1778;3.446;3.2836;3.4333;3.3385;3.1108;3.5371;3.3681;3.5953;3.5444;3.2468;3.3378;3.7036;3.5074;2.3384;3.04;3.1889;3.3035;2.3471;3.6166;3.6431;3.5;3.45;3.9755;3.2929;2.8;3.7063;3.7556;3.5;3.225
70;United States, New Hampshire;3.3711;2.0945;3.5441;2.9622;3.0964;3.397;3.2214;3.0816;3.426;3.6452;3.5041;3.6109;3.7424;3.4624;3.5736;3.3868;3.6136;3.4327;3.8954;3.7261;3.526;3.2304;3.0714;3.4687;3.3989;3.2023;2.7224;3.1875;3.7777;3.2416;3.7476;3.128;3.5673;3.6919;3.2843;3.7286;3.4416;3.437;3.1433;3.495;3.577;3.1604;3.3898;3.5274;3.0585;3.6371;3.6458;2.9;3.2065;3.3532;3.1115;3.6207;3.2959;3.525;3.3712;2.9883;3.6779;3.0574;3.6308;3.4844;3.2658;3.282;3.6793;3.3798;2.0517;2.7341;3.3097;3.413;1.6366;3.7277;3.6798;3.4914;3.0111;3.8944;3.2629;3.2333;3.46;3.7356;3.5231;3.5286
71;United States, Nevada;3.2842;1.8952;3.5851;2.8764;3.0599;3.3594;3.0554;2.8152;3.5112;3.6457;3.5385;3.7321;3.8038;3.5553;3.7996;3.2164;3.655;3.4127;3.9759;3.7089;3.4774;3.222;2.8776;3.4242;3.4514;3.175;2.6832;3.1693;3.6349;3.2328;3.7825;3.0037;3.6032;3.6604;3.2583;3.7078;3.5076;3.1515;2.9664;3.4625;3.6019;2.95;3.3927;3.8632;2.9629;3.4987;3.6226;2.8171;2.9568;3.1561;2.8938;3.6599;3.2177;3.4333;3.284;2.7871;3.5309;2.9009;3.6496;3.385;3.1564;3.1633;3.7929;3.2929;1.5964;2.6114;3.2792;3.2591;1.6889;3.8186;3.4909;3.4627;3.2;3.8974;3.0448;2.46;3.7148;3.7757;3.596;3.4455
72;United States, Tennessee;3.307;1.9714;3.579;3.0013;3.1513;3.3565;3.1124;3.0174;3.3789;3.6286;3.5039;3.679;3.744;3.5734;3.7466;3.3389;3.616;3.4838;3.8799;3.578;3.5123;3.2217;3.0515;3.45;3.4263;3.3483;2.7406;3.1845;3.7908;3.1921;3.776;3.0716;3.6412;3.632;3.2526;3.6704;3.4646;3.3348;3.1057;3.4516;3.5908;3.0533;3.2851;3.8012;3.0718;3.3991;3.7228;2.9385;3.1139;3.2921;3.0502;3.5716;3.1955;3.4231;3.3023;2.8766;3.5474;3.0387;3.5945;3.3746;3.2609;3.2197;3.6884;3.3301;1.8161;2.8181;3.2875;3.3402;1.4681;3.6891;3.7197;3.5599;3.35;3.893;3.1203;2.325;3.7469;3.8566;3.8341;3.3478
73;United States, Mississippi;3.3694;1.726;3.6304;2.7463;3.0918;3.2285;3.0115;2.9865;3.3333;3.6933;3.5016;3.7652;3.7161;3.85;3.675;3.6;3.5762;3.0667;3.8665;3.6111;3.4975;3.119;2.9429;3.3511;3.477;3.06;2.7049;3.1846;3.7;2.9737;3.77;3.1429;3.2114;3.6175;3.2;3.6647;3.1846;3.2826;2.936;3.58;3.6841;2.8786;3.02;3.8536;3.0146;3.4;3.6227;3.06;2.9926;3.3692;2.625;3.4909;3.125;3.7;3.425;2.7726;3.5153;3.0067;3.7;3.5263;3.3273;3.1649;3.525;3.4056;1.5552;2.46;3.2;3.4;1.8;3.6929;3.9737;3.28;;4.0295;3.375;;3.9222;3.8875;2.7;3.5
74;United States, Iowa;3.3028;2.1559;3.5524;2.9502;3.1619;3.3945;3.0971;2.986;3.4293;3.6535;3.5537;3.6133;3.7447;3.6288;3.7725;3.5219;3.646;3.5808;3.8692;3.6875;3.4465;3.1688;3.0825;3.5054;3.4017;3.4;2.8398;3.182;3.6688;3.2191;3.7307;3.1864;3.5636;3.6091;3.281;3.7032;3.5227;3.3436;3.078;3.491;3.5249;3.0763;3.3565;3.8225;3.0287;3.5985;3.656;3.0012;3.0934;3.2924;2.9823;3.5117;3.156;3.4778;3.2357;2.9356;3.558;2.9201;3.5557;3.3764;3.2494;3.229;3.6618;3.2332;2.2232;2.7063;3.1146;3.2834;2.1194;3.6828;3.6731;3.6645;3.4;3.9101;3.2902;2.92;3.8346;3.8279;3.85;3.0667
75;United States, South Carolina;3.3221;2.041;3.5337;3.0541;3.169;3.3435;3.0966;3.0653;3.4477;3.5833;3.4691;3.6558;3.732;3.3639;3.4472;3.4125;3.4274;3.3543;3.9105;3.6586;3.5113;3.3553;3.0791;3.4468;3.3867;3.1762;2.7525;3.276;3.7797;3.1951;3.7583;3.0691;3.5951;3.6961;3.2657;3.8025;3.5105;3.329;3.1989;3.5068;3.6253;3.1417;3.4214;3.7046;3.1685;3.4926;3.5978;3.2526;3.2216;3.278;3.1843;3.5644;3.2948;3.7;3.3575;2.909;3.6017;3.1315;3.6333;3.3159;3.286;3.2694;3.6098;3.2521;1.9119;3.0468;3.3667;3.2947;2.0545;3.7148;3.6196;3.4146;3.675;3.9737;3.3409;3;4.14;3.6;3.2333;3.7667
76;Thailand;3.1449;2.1249;3.3502;3.0689;3.0177;3.277;2.8444;3.0865;3.3212;3.4902;3.4191;3.5618;3.5805;3.1732;3.3307;3.0831;3.3482;3.3835;3.7391;3.3455;3.3383;3.0668;2.7959;3.1185;3.2091;3.076;2.5579;3.1719;3.5529;3.1944;3.6655;2.7785;3.3214;3.217;3.0892;3.3137;3.2431;3.0419;2.973;3.15;3.3814;2.9644;3.1933;3.3594;2.9466;3.4107;3.1975;2.6875;2.8525;3.0455;3.0769;3.4103;3.0585;3.25;3.0566;2.8833;3.2653;2.4837;3.1603;3.1178;3.1101;2.9217;3.3608;3.171;2.1373;2.2245;3.03;3.098;2.2275;3.5719;3.3077;3.2023;3.1667;3.5319;2.8643;2.5714;3.4778;3.437;3.2571;3
77;Portugal;3.3925;2.1281;3.4322;3.0606;3.2198;3.4242;3.1375;2.9803;3.3667;3.6022;3.4951;3.6882;3.7145;3.4346;3.613;2.9245;3.4445;3.4978;3.8759;3.5605;3.492;2.9192;2.6111;3.2433;3.3136;3.4727;2.625;3.1669;3.6314;3.0077;3.705;2.8122;3.3322;3.3694;3.475;3.4291;3.1069;3.0953;3.0541;3.3371;3.4905;2.8765;3.3259;3.5448;2.8157;3.45;3.3683;2.4313;2.737;3.1246;3.1769;3.2979;2.9127;3.375;2.9639;2.9392;3.5131;2.4763;3.3674;3.119;3.1333;3.0296;3.5857;3.0441;2.2353;1.9909;3.28;2.9042;2.0018;3.5671;3.6733;3.5211;3.2417;3.7724;3.1;2.3;3.4625;3.6694;3.76;3.2091
78;Serbia;3.1481;2.388;3.596;3.2492;3.2091;3.5314;3.1182;3.3963;3.4556;3.5933;3.5845;3.8357;3.7021;3.4333;3.6988;3.3227;3.5823;3.517;3.8458;3.6778;3.5301;3.1119;2.7764;3.378;3.15;3.4;2.8429;3.3829;3.6708;3.2125;3.787;2.9154;3.52;3.5878;3.2946;3.7628;3.3818;3.3667;3.1467;3.4688;3.6042;3.0786;3.0529;3.7968;3.1093;3.4545;3.6161;2.76;3.0671;3.4173;3.68;3.6267;2.9913;3.5167;3.4;3.2036;3.5364;2.7913;3.6643;3.2407;3.3952;3.0929;3.6471;3.3348;2.1625;2.2226;;3.2725;2.0333;3.7267;3.7545;3.59;3.2875;4.1019;3.1833;2.6;4.2;4.0267;3.68;3.7
79;United States, New Mexico;3.307;1.9924;3.6655;2.8765;3.0797;3.3433;3.0333;2.897;3.4547;3.6417;3.5705;3.725;3.7909;3.3083;3.7607;3.0778;3.6612;3.325;3.8848;3.7486;3.3377;3.0701;2.9928;3.4584;3.3634;2.9857;2.5093;3.2303;3.7281;3.0857;3.7645;3.1717;3.519;3.5933;3.2343;3.7677;3.3409;3.2316;2.9047;3.375;3.4812;3.2098;3.0448;3.8073;2.994;3.65;3.7333;3.2;3.1512;3.3135;3.119;3.5765;3.1173;3.7;3.3459;3.0398;3.6563;2.8243;3.4733;3.345;3.22;3.3092;3.7353;2.98;1.6081;2.3889;3.3;3.18;1.4;3.7215;3.75;3.9667;;3.94;2.8875;2.35;3.8625;3.848;3.6;3.3
80;Taiwan;2.7766;1.849;3.0947;2.4535;2.7071;3.1035;2.6;2.3118;3.1467;3.625;2.9833;3.1739;3.4125;2.95;3.4;2.8167;2.9562;3.2333;3.4469;3.3917;3.0244;2.7846;2.6377;3.119;2.8056;2.9;2.4024;2.7587;3.3111;3.05;3.14;2.5615;3.1417;3.4877;2.9857;3.5256;3.1778;2.7527;2.685;3.16;3.1455;2.7182;2.925;3.3357;2.5303;3.15;2.9467;;3.0045;2.9333;2.4286;3.3231;2.6636;;2.8125;2.3212;3.4778;2.1091;3.3;2.9636;2.7;2.78;3.2867;2.6;1.16;1.88;3.25;2.875;2.125;3.2321;3.3167;3.6;;3.9034;2.7333;;3.5667;3.3875;;3
81;Panama;3.0667;1.9585;3.2;3.1;3.15;3.2818;2.85;3.2;3.25;;3.5333;3.2667;3.6182;;3.45;;3.9333;;3.4429;3.3667;3.6833;3.05;2.3;3.2615;3.1;;2.5833;2.9714;3.2;;;3.275;4;3.6125;3.33;3.5176;;3.65;;3.8667;3.375;2.775;3.5;3.58;3;;3.7571;;2.65;3.3333;2.4;;1.3;;3.45;2.9143;3.35;2.2;3.3833;3.6143;2.8;2.85;3.6667;2.55;;1.1;;2.3;0.7;3.1;3.7;4.1;;4.24;3.1;;;;;
82;Hong Kong;3.4;1.9942;3.4059;3.0437;3.0673;3.3822;3.1;3.2632;3.3667;3.76;3.5497;3.7909;3.7466;3.49;3.6671;3.2389;3.6634;3.4783;3.9962;3.0211;3.4378;3.0436;2.8544;3.1557;3.2545;3.35;2.5824;3.3535;3.6765;3.2;3.9655;2.8933;3.625;3.5949;3.1118;3.65;3.2789;3.0011;3.0389;3.0929;3.6848;2.8909;3.1143;3.6419;3.0308;3.6;3.75;2.6027;3.1895;3;3.025;3.4696;3.0879;;2.9357;2.7429;3.5857;2.9717;3.5286;3.1917;3.0935;2.755;3.6833;3.5;1.8545;2.3227;2.85;3.0857;1.9875;3.8269;3.6;3.4621;;4.2263;2.7571;2.5167;4.175;4.0231;3.6333;3.3
83;Cambodia;3.1556;1.7848;3.1889;2.8647;3.0308;3.28;2.7571;2.75;3.0846;3.6308;3.3813;3.5448;3.6123;3.4429;3.8176;3.2;3.4158;3.1667;3.6919;2.3583;3.4455;2.9288;2.7575;3.3645;3.18;2.85;2.604;3.1093;3.5429;3.25;3.6706;3.0842;3.35;3.5552;3.1306;3.5016;3.2286;3.0185;2.8115;3.0818;3.4458;2.6938;3.1167;3.7444;2.8735;3.2;3.6667;2.56;3.2905;3;2.7;3.3722;2.9;;2.9083;2.6885;3.3214;2.0143;3.4889;3.1714;2.9133;3.1;3.8;3.0429;1.2;1.86;2.5;3.1062;2.4;3.3949;3.5077;3.62;;3.8118;2.9;3.1;3.7333;3.8375;3.95;3.3333
84;Faroe Islands;2.9592;1.993;3.3717;2.896;2.8589;3.2744;2.9655;2.9084;3.0782;3.6089;3.3818;3.5465;3.6392;2.9714;3.508;2.9071;3.3367;3.2;3.8141;3.4607;3.3799;2.8341;2.5235;3.1237;3.4694;3.056;2.5835;3.0031;3.4781;3.0688;3.7056;2.5711;3.266;3.352;3.0886;3.3763;3.0387;3.0009;2.8659;2.9281;3.2918;2.8294;2.9219;3.5093;2.758;3.3727;3.4288;2.6839;2.7333;2.9869;3.1;3.3548;2.8275;2.6333;2.8316;2.5796;3.1491;2.3513;3.2727;3.0169;2.7388;2.758;3.4308;2.9447;1.917;1.7223;3.0909;3.1235;1.8215;3.4671;3.2089;2.85;2.65;3.54;2.9222;2.0636;3.2417;3.6414;3.5937;3.575
85;Chile;2.9768;1.9484;3.2385;2.9778;3.101;3.0212;2.9333;2.8545;3.539;3.8533;3.6252;3.2188;3.7745;3.5;3.5222;3.25;3.6759;3.7667;3.9747;3.6229;3.2083;2.6826;2.7374;3.3429;3.1037;3.26;2.5855;2.8587;3.2;3.4909;3.9833;2.6086;3.4143;3.6026;3.286;3.7167;3.4167;3.149;2.9857;3.4154;3.5;2.8316;3.2;3.7947;2.9143;3.68;3.2278;2.4333;3.1571;3.2976;2.8286;3.3103;3.0317;;3.1641;2.7102;3.5625;2.5148;3.6527;3.1235;3.2;3.1435;3.8471;2.7935;2.05;1.5727;3.17;2.5422;1.6571;3.5167;3.8375;2.9333;3.1;4.0937;3.05;;3.7;3.7429;4.05;3.5
86;Mozambique;3;1.3391;3.3562;2.6605;2.6573;2.8067;2.6444;2.425;3.0968;3.435;3.0488;3.4441;3.422;2.9333;3.5789;2.7;3.4634;3.3;3.8157;3.392;3.2564;2.8855;2.3391;3.1143;3.2444;2.8143;1.7905;2.7346;3.3688;2.9;3.6042;2.67;3.2417;3.6174;2.8482;3.6531;;2.9423;2.5444;2.7667;3.0255;2.14;3.2286;3.8111;2.5517;3.6;3.2;1.5;2.32;2.932;2.925;3.3;2.6429;3.6;3.075;2.3364;3.3538;1.9875;3.4263;2.85;2.8273;2.708;3.4833;2.6375;1.0429;1.7333;2.875;3.02;2.1;3.4367;3.625;3.42;;3.6696;2.95;1.5;4.2;3.95;3.8;3.6
87;United States, Utah;3.4;2.5046;3.5783;3.2502;3.1728;3.4361;3.2731;3.1931;3.442;3.5799;3.4916;3.6517;3.719;3.5586;3.7333;3.4625;3.5623;3.4677;3.8215;3.563;3.4919;3.291;3.2768;3.4824;3.54;3.3;3.0218;3.2814;3.7;3.3206;3.7989;3.3986;3.5325;3.6014;3.2807;3.6564;3.5;3.4151;3.2741;3.6061;3.5429;3.2333;3.303;3.8096;3.1858;3.5302;3.688;2.9762;3.47;3.3535;3.251;3.529;3.4456;3.8167;3.4795;3.1844;3.4821;3.1931;3.7143;3.4435;3.3586;3.378;3.6493;3.472;2.286;2.9964;3.3183;3.4053;2.13;3.7066;3.5625;3.5486;3.3;3.8547;3.4;3.2;3.9222;3.9328;3.9833;3.6125
88;United States, Maine;3.3815;1.8058;3.6292;2.9;3.24;3.4277;3.1769;2.9383;3.3242;3.69;3.5241;3.7366;3.7656;3.6562;3.8732;3.3048;3.7519;3.4253;3.919;3.7291;3.5122;3.2104;2.9947;3.5072;3.5009;3.2846;2.7196;3.2973;3.8836;3.064;3.7795;3.1081;3.5234;3.7667;3.3123;3.787;3.6476;3.2359;3.0865;3.7319;3.5709;3.0613;3.4082;3.8388;3.1889;3.625;3.973;3.01;3.1243;3.3127;3.0444;3.7042;3.2014;2.95;3.3444;2.8081;3.5869;3.1553;3.7022;3.4118;3.2333;3.2723;3.8333;3.2111;1.7318;2.6636;3.2808;3.236;2.2905;3.7745;3.7541;3.7304;;3.8774;3.22;2.9;3.875;4.048;3.9091;3.1
89;Ascension Island;3.06;1.8842;3.6;3.1429;2.7;3.1562;3.6;3.3;3.5667;2.4;3.3619;3.78;3.8692;3.8;2.8667;3.7;3.85;;3.7087;2.4;3.4467;2.6286;3.3385;3.4857;3.45;;2.4667;3.2714;3.25;3.2;3.5;3.175;2.525;3.82;3.363;3.73;3.5;3.2429;3.1;3.85;3.85;2.9;3.35;3.7;2.8667;3;3.6;;3.5;3.44;3.5;3.38;3.5667;;3.4667;2.3333;3.6125;1.9;3.86;3.45;2.75;3.175;3.5667;3.6;1.6;;;2.85;;3.2;3.55;;;3.8167;2.8;;3.8;1.775;;
90;Iceland;3.0974;2.0287;3.3946;3.06;3.0778;3.6516;2.4667;3.3357;3.4786;3.8368;3.6743;3.5667;3.897;3.4286;3.7855;3.4294;3.7227;3.5545;4.0423;3.48;3.4667;3.1965;2.6798;3.4164;3.175;2.2;2.4257;3.3452;3.6;3.4467;3.8875;2.84;3.773;3.7178;3.2109;3.7596;3.73;3.3369;2.9421;3.72;3.0867;3.43;3.3412;3.8515;2.969;3.5062;3.6032;1.7;2.8098;3.3333;2.9;3.65;3.1143;;3.2091;2.5796;3.6391;2.6;3.726;3.3353;3.6667;3;3.66;3.1045;1.5;1.4385;4.1;3.3438;1.9929;3.8542;3.8143;3.3941;2.9333;4.0543;3.3167;0.9;3.8;3.9148;4.2333;3.7333
91;United States, Oklahoma;3.2478;1.9311;3.6177;2.7994;3.0583;3.2691;3.1039;2.8566;3.3021;3.5297;3.4452;3.7218;3.7545;3.5622;3.7868;3.1714;3.7084;3.3091;4.0144;3.664;3.5033;3.0928;2.8798;3.493;3.2878;3.0583;2.6706;3.0664;3.7864;3.1538;3.9082;2.8841;3.3861;3.7442;3.1854;3.8045;3.337;3.3;3.16;3.6758;3.5482;2.8536;3.1667;3.8734;2.8261;3.4857;3.522;2.69;3.0296;3.2558;2.719;3.6052;3.0129;3.2;3.2619;2.7389;3.602;2.834;3.6475;3.2231;2.9421;3.0468;3.7051;3.18;1.4135;2.7286;3.2444;3.1667;1.9333;3.7481;3.7489;3.5517;3.4429;3.992;2.9;;4.0391;3.7639;3.5333;3.65
92;United States, Delaware;3.2632;1.9264;3.5897;2.8828;3.2038;3.3209;2.9519;3.0146;3.3702;3.7085;3.5345;3.6467;3.7678;3.5273;3.7942;3.3;3.6332;3.5313;3.879;3.722;3.4916;3.2534;3.0157;3.4606;3.4009;3.2071;2.5711;3.1994;3.7511;3.1077;3.8121;2.9924;3.5837;3.571;3.3379;3.7235;3.5646;3.3406;3.049;3.5385;3.5449;2.9921;3.2419;3.8485;2.9919;3.7083;3.7886;2.94;3.081;3.3356;3.1;3.6151;3.2556;3.48;3.3205;2.8218;3.5497;3.2603;3.5787;3.4152;3.4109;3.1388;3.6438;3.2947;1.916;2.8125;3.0947;3.3247;1.1818;3.7048;3.6635;3.5256;3.2;3.9076;3.3923;2.9;3.8913;3.8212;3.76;3.5143
93;United States, Hawaii;3.2953;2.009;3.5842;2.9444;3.2278;3.3654;2.9556;2.8567;3.5;3.7833;3.5586;3.6438;3.873;3.54;3.8;2.85;3.5746;3.5;3.9336;3.6364;3.4269;3.1537;2.9828;3.3943;3.4312;3.4;2.2684;3.2807;3.6333;3.4429;3.8375;2.9933;3.5929;3.597;3.4194;3.6764;3.43;3.5102;3.0538;4.04;3.6892;2.9615;3.3222;4.012;3.0389;3.42;3.7;1.65;3.0176;3.151;2.975;3.7;3.2059;;3.4333;2.8469;3.5464;3.06;3.6533;3.4286;3.0714;2.9909;3.75;3.3;1.2286;;3.15;3.1429;;3.6425;3.5286;3.9;;3.9192;3.15;;4.1;3.9889;3.5333;
94;United States, South Dakota;3.6228;2.807;3.7937;3.2286;3.0437;3.2925;3.1417;3.017;3.42;3.4833;3.3556;3.4211;3.8917;2.7;4.6;3.6;2.8125;;3.881;4.15;3.5806;2.7244;3.0786;3.2429;3.4238;4.1;2.5929;3.2574;3.4625;3.6857;3.775;3.1545;2.9375;2.8143;3.3969;3.5778;4.8;2.9419;2.8615;3.4;3.4867;3.2556;3.4778;4.2;2.268;;3.3;2.14;2.94;3.2042;2.9778;3.35;3.025;;2.9812;2.9459;3.4476;1.9222;3.4667;2.75;3.125;3.1552;3;3.1286;1.75;2.125;3.0125;3.15;1.35;3.2375;3.42;;3;3.24;3.15;;3.9;;;
95;Turkey;3.3;2.2893;3.5472;3.2167;3.1279;3.3056;2.9792;2.9706;3.1864;3.5111;3.3811;3.4162;3.5422;3.1889;3.3708;2.8474;3.3702;3.3314;3.7547;3.4812;3.45;3.0358;2.7938;3.3183;3.4;3.2111;2.7425;3.1115;3.4719;3.175;3.7062;2.8417;3.3528;3.5527;3.2257;3.6;3.3833;3.2356;2.9563;3.05;3.5106;3.0379;3.1071;3.3688;2.9154;3.3913;3.4;3.2;2.997;2.9657;3.1455;3.2077;3.2034;;2.9467;2.7977;3.3185;2.4472;3.649;2.8455;2.8909;3.0656;3.3556;3.0462;2.7261;2.35;3.1364;3.1103;1.65;3.4696;3.7857;3.3043;2.4;3.6346;2.7;;3.8;3.4333;2.95;
96;United States, Arkansas;3.2859;2.1334;3.5749;3.1556;3.2096;3.3013;3.255;2.9843;3.3467;3.6808;3.5062;3.71;3.7796;3.4577;3.8355;2.9333;3.6603;3.2857;3.9823;3.6944;3.4821;3.1032;2.9833;3.5215;3.4193;3.3905;2.6193;3.0969;3.6909;2.9778;3.8593;2.9022;3.6256;3.661;3.33;3.8356;3.284;3.3131;3.1947;3.6421;3.5886;3.1227;3.4389;3.8467;2.9277;3.3667;3.6932;2.7824;3.1857;3.309;2.7167;3.6553;3.0233;;3.2081;2.7529;3.6115;3.105;3.7576;3.3023;2.9956;3.2482;3.7369;3.2944;1.9021;2.6818;3.2917;3.275;1.925;3.8018;3.8045;3.25;2.8;4.0261;3.0636;;4.1143;3.88;4.05;3.2333
97;Ecuador;3.775;1.9825;2.3231;2.7222;3.5;2.65;3.3667;3;4.3;3.3;3.08;3.85;4.4333;4;4.25;;2.95;;4.2333;4.1;3.7462;2.875;1.85;3.5;3.7;3.9;2.64;2.6938;;4.25;;3.75;4;3.0667;3.6;4.2455;4.6;2.8786;2.62;3.6;2.3714;3.35;2.5;4.62;3.4722;;4.3;4.4;2.84;3.5;2.5;2.5;2.64;;3.1667;2.7;3.75;2.7;3.2889;3.46;3.9;2.9;;1.72;3;2.3;4.45;2.5333;1.46;3.5;1.1;4.1;;4.7;3.4;;4.2;4.7;;4.4
98;India;3.312;2.2681;3.364;3.0346;3.3607;3.4222;2.975;3.04;3.6786;;3.6086;3.98;3.4;3.1;;4.1;3.46;3.75;4.0357;3.6091;3.5939;3.0182;2.9478;3.5056;3.0462;3.3;2.5071;3.26;3.75;3.1;;3.1;3.275;3.7385;3.4781;3.822;3.5;3.25;3.2786;3.56;3.8385;2.9125;3.1857;4.1571;3.15;;3.6714;2.4;3.1222;3.4591;1.65;3.5222;3.2867;;3.225;3.1467;3.5846;3.025;3.7278;3.54;3.2;3.3938;3.8667;3.45;3.3444;;3.1667;3.2429;3.125;3.6;4.1333;;;3.8286;3.4;;3.5;3.975;;3.65
99;United States, Kentucky;3.3297;2.0009;3.5327;3.0005;3.205;3.3743;3.1089;3.015;3.3819;3.6406;3.5302;3.5861;3.7353;3.4272;3.7175;3.2952;3.5707;3.3972;3.881;3.6022;3.4882;3.2117;3.0974;3.462;3.4676;3.1532;2.7135;3.1867;3.6497;3.2348;3.7389;3.032;3.5281;3.6319;3.2676;3.7149;3.4673;3.3303;3.2077;3.4217;3.6091;3.0927;3.3236;3.797;3.0888;3.5227;3.6874;3.2184;3.1714;3.2279;2.9574;3.5707;3.2046;3.36;3.3375;2.9079;3.5293;3.0663;3.5491;3.4564;3.3424;3.219;3.6321;3.2768;1.7916;2.9167;3.2506;3.3007;2.0681;3.6815;3.7301;3.4697;3.05;3.9018;3.24;3.25;3.7957;3.7948;3.8231;3.4308
